game_id,competition_id,season,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position
3266900,UKRP,2019,49364,60551,2,1,,
3274525,RU1,2019,3725,11127,0,0,15,9
3274529,RU1,2019,14589,28095,0,0,8,10
3277198,NLP,2019,133,234,1,2,,
3277200,NLP,2019,403,468,3,0,,
3280858,RU1,2019,3725,2698,1,1,11,14
3280868,RU1,2019,3725,28095,0,1,12,7
3280874,RU1,2019,41201,2698,0,0,11,13
3283802,RUP,2019,3725,964,1,2,,
3289604,CIT,2019,506,410,4,0,,
3291987,EL,2019,190,371,1,1,,
3292008,EL,2019,985,2282,5,0,,
3292281,GR1,2019,6418,3060,0,1,13,6
3300772,FAC,2019,931,405,2,1,,
3302931,BE1,2019,1245,157,2,3,13,2
3305368,CDR,2019,142,237,3,1,,
3306914,FAC,2019,281,931,4,0,,
3309703,GR1,2019,653,4603,0,0,6,8
3309704,GR1,2019,683,128,3,1,1,12
3309798,GR1,2019,3060,683,0,1,7,1
3309805,GR1,2019,128,3999,0,0,12,9
3309807,GR1,2019,605,2441,0,1,5,3
3309822,GR1,2019,169,2441,1,1,14,3
3316887,CDR,2019,16795,621,2,1,,
3321373,SFA,2019,2578,371,0,1,,
3334629,RU1,2019,232,28095,0,0,7,8
3334632,RU1,2019,11127,41201,2,1,11,13
3335168,RU1,2019,14589,2410,0,4,16,3
3335175,RU1,2019,14589,1083,0,0,16,5
3335181,RU1,2019,41201,41231,3,0,14,12
3335192,RU1,2019,2698,232,1,2,10,7
3392431,FAC,2019,985,631,1,3,,
3393090,SC1,2020,371,2999,5,1,1,12
3394596,FR1,2020,995,618,2,2,14,1
3394607,FR1,2020,40,417,0,0,12,10
3394609,FR1,2020,1160,826,1,1,14,6
3394652,FR1,2020,1160,1420,1,5,18,10
3394667,FR1,2020,1082,1158,4,0,2,18
3394719,FR1,2020,1158,273,0,3,19,5
3394733,FR1,2020,969,1082,2,3,8,2
3394745,FR1,2020,1160,1082,0,1,20,3
3394755,FR1,2020,417,40,0,3,14,9
3394768,FR1,2020,583,969,4,0,1,11
3394777,FR1,2020,969,826,1,2,11,8
3394801,FR1,2020,1160,162,3,4,19,4
3394824,SC1,2020,370,1241,2,1,4,12
3394873,SC1,2020,465,2553,0,1,11,5
3394891,FR1,2020,1421,1041,1,1,13,3
3394910,FR1,2020,2969,1421,0,1,20,12
3394928,FR1,2020,273,995,1,0,7,19
3394946,FR1,2020,273,2969,5,1,7,20
3394947,FR1,2020,347,583,1,3,10,2
3394969,FR1,2020,40,273,1,0,15,7
3394975,FR1,2020,995,40,3,0,18,15
3395466,SC1,2020,124,2999,8,0,1,12
3395470,SC1,2020,1519,2999,2,1,5,12
